Data de fim:;2025-03-28 23:59
Data de início:;2025-03-28 11:25

Número total de resultados da pesquisa:;8494

Operação;Entidade;Área central;Estado;Diagnóstico;Criticidade;Utilizador;Data pedido;Duração
Regime de Propriedade;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:39;
Estado ONT por PON;;;Em progresso;;;FSync1;2025-03-28 11:28:39;
Regime de Propriedade;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:39;
Estado do ONT;1702079679;;Em progresso;;;FSync4;2025-03-28 11:28:39;
Consulta Produtos e Serviços;1702914432;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta Produtos e Serviços;265734259;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta de eventos de RR;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Diagnóstico HGW;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Consulta de informação no Radius Rede;265734259;;Pronto;;;ivr;2025-03-28 11:28:39;00:00
Consulta de informação no SR Cliente;265734259;;Em progresso;;;ivr;2025-03-28 11:28:39;
Diagnóstico STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
DMZ Host;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Estado IP Framed-Route;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta Devices;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:38;00:00
Diagnóstico Smart Wi-Fi;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta de Controlo Parental;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Diagnóstico global STB;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:38;
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta de eventos de RR;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Diagnóstico HGW;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Consulta de informação no Radius Rede;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Consulta de informação no SR Cliente;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Informação de cliente;1704222570;;Pronto;;;SGN;2025-03-28 11:28:38;00:00
DMZ Host;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Estado IP Framed-Route;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;265734259;;Falha de sistema externo;;;ivr;2025-03-28 11:28:38;00:00
Consulta Devices;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Consulta de Controlo Parental;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico global STB;265734259;;Em progresso;;;ivr;2025-03-28 11:28:38;
Diagnóstico STB;227819301;;Falha de sistema externo;;Avisos;XITCC22;2025-03-28 11:28:38;00:01
Diagnóstico STB;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico STB;227819301;;Falha de sistema externo;;Avisos;XITCC22;2025-03-28 11:28:38;00:01
Informação de cliente;1702327555;;Pronto;;;netq;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Estado IP Framed-Route;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;227819301;;Falha de sistema externo;;;XITCC22;2025-03-28 11:28:38;00:00
DMZ Host;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta de Controlo Parental;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta Devices;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Diagnóstico global STB;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Regime de Propriedade;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:38;00:00
Regime de Propriedade;265734259;;Pronto;;;ivr;2025-03-28 11:28:38;00:00
Condição de portabilidade/mobilidade;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Consulta configuração da LR;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico STB;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Regime de Propriedade;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1702320869;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Informação de cliente;1702320869;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Consulta Devices;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Estado IP Framed-Route;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Consulta de Controlo Parental;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
DMZ Host;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Diagnóstico Smart Wi-Fi;1702408253;;Falha de sistema externo;;;XTFEN93;2025-03-28 11:28:38;00:00
Diagnóstico global STB;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:38;
Estado do ONT;1702327555;;Em progresso;;;ROBOTTECH;2025-03-28 11:28:38;
Informação de cliente;1702327555;;Pronto;;;ROBOTTECH;2025-03-28 11:28:38;00:00
Consulta Produtos e Serviços;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Interferentes;1005418717;89ET01;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Diagnóstico HGW;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Gestão PPPoE;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Gestão PPPoE;1005418717;;Pronto;;;XITCC22;2025-03-28 11:28:38;00:00
Diagnóstico ADSL;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Consulta condição e facilidades;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:38;
Regime de Propriedade;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:38;00:00
Diagnóstico ALL;1005418717;;Em progresso;;;XITCC22;2025-03-28 11:28:37;
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1700631090;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta de eventos de RR;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1702292330;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Informação de cliente;1702292330;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Diagnóstico HGW;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:37;
Consulta de informação no Radius Rede;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:01
Consulta de informação no SR Cliente;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:37;
Alarmes Ativos;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Alarmes Arquivados 24h;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta PIN Visualização de canais e conteúdos;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta PIN adultos;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta Devices;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta PIN Compras e alugueres;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta de quotas;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Dados Subscrições;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Dados MediaHub;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Dados MediaRoom;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Regime de Propriedade;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:01
Consulta Produtos e Serviços;1701764970;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Consulta de informação no Radius Rede;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Diagnóstico HGW;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:01
Consulta Produtos e Serviços;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Consulta de informação no SR Cliente;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:37;
Consulta de eventos de RR;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1702288149;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Informação de cliente;1702288149;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1700669721;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Diagnóstico HGW;214059714;;Falha de sistema externo;;;ivr;2025-03-28 11:28:37;00:00
Consulta de informação no Radius Rede;214059714;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;214059714;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta de eventos de RR;214059714;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta de informação no SR Cliente;214059714;;Pronto;;;ivr;2025-03-28 11:28:37;00:01
Consulta Produtos e Serviços;1702914432;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Diagnóstico HGW;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:01
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:01
Consulta Produtos e Serviços;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Regime de Propriedade;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Alarmes ONT últimas 24h;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:01
Estado do ONT;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Informação de cliente;1702914432;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Consulta de eventos MPLS;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Potência Tx/Rx;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Consulta ENUM/DNS;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta HSS;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:01
Gestão de contas TV;265734259;;Pronto;;Avisos;ivr;2025-03-28 11:28:37;00:01
Consulta MPLS;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Erros óticos;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Consulta SIP-AS;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:01
Diagnóstico CPE/HN;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Estatísticas ETH_LAN;265734259;;Em progresso;;;ivr;2025-03-28 11:28:37;
Consulta PIN Visualização de canais e conteúdos;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Consulta PIN adultos;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Dados Subscrições;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Consulta de quotas;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Consulta PIN Compras e alugueres;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Consulta Devices;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Dados MediaHub;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Dados MediaRoom;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Alarmes Ativos;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Alarmes Arquivados 24h;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Obter dados de conta;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Obter Fast Zapping;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:01
Remover RR;1703410902;;Pronto;OK;;XVIAA08;2025-03-28 11:28:37;00:00
Desconfigurar acesso;1703410902;;Em progresso;;;XVIAA08;2025-03-28 11:28:37;
Consulta Produtos e Serviços;1701752773;;Pronto;;;FSync3;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Informação de cliente;1702320869;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Alarmes Arquivados 24h;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Informação de cliente;1702292330;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Alarmes Ativos;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Alarmes Arquivados 24h;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Alarmes Ativos;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:37;00:00
Cadastro rede de acesso;265734259;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta de quotas;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Dados MediaRoom;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta Devices;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta PIN adultos;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta PIN Visualização de canais e conteúdos;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta PIN Compras e alugueres;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Dados Subscrições;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Dados MediaHub;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;214059714;;Pronto;;;ivr;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1702282748;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Informação de cliente;1702282748;;Pronto;;;ROBOTTECH;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Diagnóstico HGW;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:01
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Consulta Produtos e Serviços;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Regime de Propriedade;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Informação de cliente;1702408253;;Pronto;;;netq;2025-03-28 11:28:37;00:00
Consulta de eventos MPLS;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:02
Consulta MPLS;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Gestão de contas TV;1702408253;;Pronto;;Avisos;XTFEN93;2025-03-28 11:28:37;00:01
Erros óticos;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Consulta HSS;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:01
Alarmes ONT últimas 24h;1702408253;;Pronto;;Avisos;XTFEN93;2025-03-28 11:28:37;00:01
Consulta ENUM/DNS;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:00
Estatísticas ETH_LAN;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Consulta SIP-AS;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:37;00:01
Potência Tx/Rx;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Estado do ONT;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Diagnóstico CPE/HN;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:37;
Consulta PIN Visualização de canais e conteúdos;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Consulta PIN Compras e alugueres;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Dados MediaRoom;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Consulta PIN adultos;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Dados Subscrições;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Dados MediaHub;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Consulta de quotas;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Consulta Devices;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Informação de cliente;1702288149;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Estado do ONT;1702320869;;Em progresso;;;ROBOTTECH;2025-03-28 11:28:36;
Informação de cliente;1702320869;;Pronto;;;ROBOTTECH;2025-03-28 11:28:36;00:00
Informação de cliente;1702292330;;Pronto;;;ROBOTTECH;2025-03-28 11:28:36;00:00
Estado do ONT;1702292330;;Em progresso;;;ROBOTTECH;2025-03-28 11:28:36;
Obter dados de conta;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Obter Fast Zapping;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:01
Consulta Produtos e Serviços;1700631090;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Diagnóstico HGW;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:02
Consulta Produtos e Serviços;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Regime de Propriedade;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Consulta de eventos MPLS;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:02
Consulta HSS;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:01
Consulta MPLS;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Estado do ONT;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Potência Tx/Rx;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Diagnóstico CPE/HN;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Estatísticas ETH_LAN;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Consulta SIP-AS;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:01
Gestão de contas TV;227819301;;Pronto;;Avisos;XITCC22;2025-03-28 11:28:36;00:01
Alarmes ONT últimas 24h;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:01
Erros óticos;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Consulta ENUM/DNS;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:01
Consulta Produtos e Serviços;1701764970;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Informação de cliente;265734259;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Diagnóstico HGW;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:02
Diagnóstico ALL;265734259;;Em progresso;;;ivr;2025-03-28 11:28:36;
Consulta Produtos e Serviços;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Regime de Propriedade;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Consulta HSS;232968259;;Pronto;;Críticos;XVIAB92;2025-03-28 11:28:36;00:01
Consulta de eventos MPLS;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:01
Estatísticas ETH_LAN;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Consulta RADIUS;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:02
Gestão de contas TV;232968259;;Pronto;;Avisos;XVIAB92;2025-03-28 11:28:36;00:02
Erros óticos;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Consulta SIP-AS;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:01
Consulta ENUM/DNS;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Potência Tx/Rx;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Alarmes ONT últimas 24h;232968259;;Pronto;;Avisos;XVIAB92;2025-03-28 11:28:36;00:01
Consulta MPLS;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Estado do ONT;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Diagnóstico CPE/HN;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Consulta IP fixo;1703410902;;Sem informação de cadastro;;;XVIAA08;2025-03-28 11:28:36;00:00
Remover SR;1703410902;;Pronto;OK;;XVIAA08;2025-03-28 11:28:36;00:01
Cadastro rede de acesso;1702408253;;Pronto;;;XTFEN93;2025-03-28 11:28:36;00:00
Regime de Propriedade;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Estado do ONT;1702288149;;Em progresso;;;ROBOTTECH;2025-03-28 11:28:36;
Informação de cliente;1702288149;;Pronto;;;ROBOTTECH;2025-03-28 11:28:36;00:00
Diagnóstico STB;252688135;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Diagnóstico ALL;1702408253;;Em progresso;;;XTFEN93;2025-03-28 11:28:36;
Cadastro rede de acesso;232968259;;Pronto;;;XVIAB92;2025-03-28 11:28:36;00:00
Alarmes Ativos;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Alarmes Arquivados 24h;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Estado IP Framed-Route;252688135;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Consulta de Controlo Parental;252688135;;Falha de sistema externo;;;XITCC22;2025-03-28 11:28:36;00:03
DMZ Host;252688135;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Diagnóstico Smart Wi-Fi;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:02
Consulta Devices;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Diagnóstico global STB;252688135;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Consulta de quotas;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Consulta Devices;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Dados MediaHub;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Consulta PIN Visualização de canais e conteúdos;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Consulta PIN adultos;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Dados MediaRoom;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Consulta PIN Compras e alugueres;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Dados Subscrições;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Cadastro rede de acesso;227819301;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Informação de cliente;1701752773;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Estado do ONT;1701752773;;Em progresso;;;FSync3;2025-03-28 11:28:36;
Consulta Produtos e Serviços;1704469898;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Diagnóstico HGW;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:01
Consulta Produtos e Serviços;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Consulta de eventos de RR;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Consulta de informação no Radius Rede;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Consulta de informação no SR Cliente;252688135;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Diagnóstico ALL;232968259;;Em progresso;;;XVIAB92;2025-03-28 11:28:36;
Diagnóstico ALL;227819301;;Em progresso;;;XITCC22;2025-03-28 11:28:36;
Informação de cliente;1702282748;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Regime de Propriedade;252688135;;Pronto;;;XITCC22;2025-03-28 11:28:36;00:00
Consulta Produtos e Serviços;226004041;;Pronto;;;FSync3;2025-03-28 11:28:36;00:00
Informação de cadastro no SIGRA;226004041;;Pronto;;;FSync3;2025-03-28 11:28:36;00:00
Topologia da rede de acesso (cobre);226004041;;Pronto;;;FSync3;2025-03-28 11:28:36;00:00
Informação de cadastro;226004041;;Pronto;;;FSync3;2025-03-28 11:28:36;00:00
Consulta Produtos e Serviços;1700669721;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Diagnóstico HGW;214059714;;Falha de sistema externo;;;ivr;2025-03-28 11:28:36;00:01
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Consulta Produtos e Serviços;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Regime de Propriedade;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Informação de cliente;1700669721;;Pronto;;;netq;2025-03-28 11:28:36;00:00
Erros óticos;214059714;;Em progresso;;;ivr;2025-03-28 11:28:36;
Consulta de eventos MPLS;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:02
Consulta HSS;214059714;;Pronto;;Críticos;ivr;2025-03-28 11:28:36;00:01
Consulta MPLS;214059714;;Pronto;;Avisos;ivr;2025-03-28 11:28:36;00:03
Consulta ENUM/DNS;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:00
Gestão de contas TV;214059714;;Pronto;;Avisos;ivr;2025-03-28 11:28:36;00:01
Consulta RADIUS;214059714;;Pronto;;Avisos;ivr;2025-03-28 11:28:36;00:02
Estatísticas ETH_LAN;214059714;;Em progresso;;;ivr;2025-03-28 11:28:36;
Alarmes ONT últimas 24h;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:01
Diagnóstico CPE/HN;214059714;;Sem informação;;;ivr;2025-03-28 11:28:36;00:01
Consulta SIP-AS;214059714;;Pronto;;;ivr;2025-03-28 11:28:36;00:01
Estado do ONT;214059714;;Em progresso;;;ivr;2025-03-28 11:28:36;
Potência Tx/Rx;214059714;;Em progresso;;;ivr;2025-03-28 11:28:36;
Informação de cliente;1703885732;;Pronto;;;netq;2025-03-28 11:28:35;00:00
Potência Tx/Rx;1703885732;;Em progresso;;;FSync1;2025-03-28 11:28:35;
Informação de cliente;1704866265;;Pronto;;;netq;2025-03-28 11:28:35;00:00
Erros óticos;1704866265;;Em progresso;;;FSync2;2025-03-28 11:28:35;
